,DCODE,EV_COUNT,MPS_COUNT,BLDG_COUNT,MA_HH,EDU_PERCENT,T_POP,T_WP
424,S26,0.0,0.0,0.0,300.0,0.270935960591133,2.03,1.003
425,T26,0.0,0.0,0.0,300.0,0.270935960591133,2.03,1.003
426,G27,0.0,0.0,0.0,742.1,0.3562992125984252,2.032,1.136
427,I27,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
428,J27,0.0,0.0,3.0,517.8,0.22070844686648503,1.468,0.335
429,K27,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
430,L27,0.0,0.0,8.0,517.8,0.22070844686648503,1.468,0.335
431,M27,0.0,0.0,3.0,517.8,0.22070844686648503,1.468,0.335
432,N27,0.0,0.0,25.0,517.8,0.22070844686648503,1.468,0.335
433,O27,0.0,0.0,7.0,408.9,0.24582220372880903,3.498,1.338
434,P27,0.0,0.0,0.0,408.9,0.24582220372880903,3.498,1.338
435,Q27,0.0,0.0,10.0,408.9,0.24582220372880903,3.498,1.338
436,R27,0.0,0.0,1.0,300.0,0.270935960591133,2.03,1.003
437,S27,0.0,0.0,0.0,300.0,0.270935960591133,2.03,1.003
438,T27,0.0,0.0,0.0,300.0,0.270935960591133,2.03,1.003
439,J28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
440,L28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
441,M28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
442,N28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
443,O28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
444,P28,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
445,O29,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
446,P29,0.0,0.0,0.0,517.8,0.22070844686648503,1.468,0.335
447,R30,0.0,0.0,1.0,300.0,0.270935960591133,2.03,1.003
448,V30,0.0,0.0,39.0,300.0,0.270935960591133,2.03,1.003
