ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq,,,,,,
11602,116/02,116/02, 1 403,  439,  437,,,,,,
11603,116/03,116/03, 6 696, 2 338, 2 389,,,,,,
11604,116/04,116/04, 1 065,  348,  365,,,,,,
11605,116/05,116/05, 1 807,  645,  641,,,,,,
11606,116/06,116/06, 1 280,  351,  569,,,,,,
12102S,121/02-17 and 121/19-21,121/02-17 及 121/19-21, 1 158,  471,  495,,,,,,
12201S,122/01-03,122/01-03,  879,  375,  384,,,,,,
12204S,122/04-06,122/04-06, 1 079,  473,  472,,,,,,
12207S,122/07-09,122/07-09,  406,  227,  227,,,,,,
12210S,122/10-14 and 122/18-21,122/10-14 及 122/18-21,  849,  389,  379,,,,,,
12215S,122/15-17,122/15-17, 1 041,  467,  475,,,,,,
12222S,122/22-23,122/22-23,  880,  437,  437,,,,,,
12224S,122/24 and 123/01-23,122/24 及 123/01-23,  695,  310,  302,,,,,,
12401S,"124/01, 124/05-06 and 124/08-16","124/01, 124/05-06 及 124/08-16",  554,  197,  221,,,,,,
13101S,131/01-06,131/01-06,  449,  196,  196,,,,,,
13107,131/07,131/07,  889,  395,  395,,,,,,
13108,131/08,131/08, 1 054,  486,  486,,,,,,
13109,131/09,131/09,  777,  341,  341,,,,,,
13110S,"131/10-11, 131/14 and 131/19-20","131/10-11, 131/14 及 131/19-20", 1 443,  741,  741,,,,,,
13112,131/12,131/12,  663,  300,  324,,,,,,
13113,131/13,131/13,  831,  369,  369,,,,,,
13115,131/15,131/15, 1 174,  525,  525,,,,,,
13116,131/16,131/16,  712,  246,  259,,,,,,
13117,131/17,131/17, 1 108,  409,  409,,,,,,
13118,131/18,131/18, 1 089,  395,  405,,,,,,
13121,131/21,131/21, 1 347,  674,  674,,,,,,
13123,131/23,131/23,  841,  397,  397,,,,,,
13124,131/24,131/24,  696,  282,  294,,,,,,
13125,131/25,131/25,  922,  472,  472,,,,,,
13127,131/27,131/27,  639,  309,  309,,,,,,
13128,131/28,131/28,  715,  348,  348,,,,,,
13129S,131/29 and 131/73,131/29 及 131/73, 2 249, 1 149, 1 171,,,,,,
13131S,131/31-32,131/31-32,  422,  232,  232,,,,,,
13133S,131/33 and 131/76,131/33 及 131/76,  813,  420,  444,,,,,,
13134,131/34,131/34,  753,  296,  306,,,,,,
13135,131/35,131/35,  779,  304,  304,,,,,,
13136S,131/36-37,131/36-37,  734,  309,  309,,,,,,
13144S,131/44 and 131/46,131/44 及 131/46,  447,  183,  183,,,,,,
13147,131/47,131/47,  994,  406,  395,,,,,,
13148S,131/48-50,131/48-50,  421,  171,  171,,,,,,
13151S,131/51 and 131/74,131/51 及 131/74,  870,  306,  318,,,,,,
13153,131/53,131/53, 1 678,  602,  602,,,,,,
13156S,"131/56, 131/71 and 131/75","131/56, 131/71 及 131/75", 1 067,  535,  559,,,,,,
13159S,131/59 and 131/61,131/59 及 131/61,  436,  164,  164,,,,,,
13160,131/60,131/60, 1 245,  347,  347,,,,,,
13162,131/62,131/62,  407,  164,  164,,,,,,
13163S,131/63-64,131/63-64,  505,  207,  217,,,,,,
13165S,131/65-70,131/65-70, 1 164,  382,  384,,,,,,
13201S,132/01 and 132/03-04,132/01 及 132/03-04,  753,  353,  353,,,,,,
13202,132/02,132/02,  737,  287,  277,,,,,,
13205S,132/05-06,132/05-06,  428,  196,  196,,,,,,
13207,132/07,132/07, 1 148,  447,  447,,,,,,
13208,132/08,132/08,  641,  239,  239,,,,,,
13209,132/09,132/09,  833,  278,  278,,,,,,
13210S,"132/10, 132/30-32 and 132/35","132/10, 132/30-32 及 132/35",  823,  363,  375,,,,,,
13211S,132/11 and 132/21-22,132/11 及 132/21-22,  465,  217,  229,,,,,,
13212S,132/12-13,132/12-13,  812,  313,  313,,,,,,
13214S,132/14-15,132/14-15,  699,  346,  370,,,,,,
13217S,132/17-19 and 132/29,132/17-19 及 132/29, 1 144,  417,  431,,,,,,
13220,132/20,132/20,  789,  390,  379,,,,,,
13223S,132/23-26,132/23-26, 1 851,  363,  384,,,,,,
13228S,132/28 and 132/34,132/28 及 132/34,  856,  287,  299,,,,,,
13233,132/33,132/33, 1 945, 1 009,  995,,,,,,
13236,132/36,132/36, 1 665,  682,  683,,,,,,
13237S,132/37-38,132/37-38,  715,  361,  361,,,,,,
13239S,132/39-42,132/39-42,  774,  259,  259,,,,,,
13243S,132/43-44,132/43-44,  403,  107,  107,,,,,,
13301S,133/01-03,133/01-03, 1 158,  439,  452,,,,,,
13304,133/04,133/04,  524,  293,  293,,,,,,
13305,133/05,133/05, 1 095,  421,  421,,,,,,
13306S,133/06-07,133/06-07, 1 064,  520,  532,,,,,,
13308,133/08,133/08, 1 068,  564,  564,,,,,,
13309,133/09,133/09,  518,  246,  246,,,,,,
13310,133/10,133/10, 1 340,  470,  482,,,,,,
13311,133/11,133/11,  723,  314,  314,,,,,,
13312,133/12,133/12, 1 209,  494,  507,,,,,,
13313,133/13,133/13,  968,  380,  380,,,,,,
13314,133/14,133/14, 1 435,  605,  605,,,,,,
13402S,134/02-03 and 134/06,134/02-03 及 134/06, 1 200,  565,  565,,,,,,
13501S,135/01-06,135/01-06, 1 076,  636,  664,,,,,,
14001S,140/01 and 140/04,140/01 及 140/04, 2 166,  627,  639,,,,,,
14002,140/02,140/02, 4 207, 1 242, 1 250,,,,,,
14003S,140/03 and 140/05,140/03 及 140/05,  995,  304,  304,,,,,,
14101S,141/01-03,141/01-03,  521,  103,  169,,,,,,
14104S,"141/04-05, 141/08 and 141/16","141/04-05, 141/08 及 141/16", 1 002,  177,  365,,,,,,
14106,141/06,141/06,  693,  137,  146,,,,,,
14107,141/07,141/07, 1 774,  557,  547,,,,,,
14109,141/09,141/09, 2 501,  705,  705,,,,,,
14110S,141/10 and 141/13,141/10 及 141/13, 1 155,  274,  274,,,,,,
14111,141/11,141/11, 4 507, 1 630, 1 638,,,,,,
14112,141/12,141/12, 1 435,  486,  486,,,,,,
14114,141/14,141/14,  907,  268,  268,,,,,,
14115,141/15,141/15, 1 811,  509,  517,,,,,,
14117,141/17,141/17, 1 751,  494,  494,,,,,,
14118,141/18,141/18,  597,  135,  135,,,,,,
14119S,141/19-21,141/19-21,  456,  134,  134,,,,,,
14122,141/22,141/22,  540,  146,  146,,,,,,
14201,142/01,142/01, 1 617,  534,  534,,,,,,
14202,142/02,142/02, 2 342,  660,  660,,,,,,
14203,142/03,142/03, 1 384,  514,  522,,,,,,
14204S,142/04 and 142/11,142/04 及 142/11, 3 511,  968,  968,,,,,,
14205,142/05,142/05, 5 349, 1 708, 1 717,,,,,,
14206,142/06,142/06, 4 316, 1 257, 1 266,,,,,,
14207,142/07,142/07, 2 766, 1 127, 1 136,,,,,,
14208,142/08,142/08, 1 004,  430,  439,,,,,,
14209,142/09,142/09, 1 449,  619,  644,,,,,,
14210,142/10,142/10, 4 304, 1 406, 1 433,,,,,,
14212,142/12,142/12, 2 627,  825,  852,,,,,,
14213,142/13,142/13, 1 539,  360,  360,,,,,,
14214S,142/14 and 142/18,142/14 及 142/18, 1 765,  489,  489,,,,,,
14215S,142/15-17,142/15-17,  686,  159,  169,,,,,,
14219S,142/19-20,142/19-20, 2 776,  644,  644,,,,,,
14221,142/21,142/21, 2 383,  781,  781,,,,,,
14301,143/01,143/01,  839,  263,  276,,,,,,
14302,143/02,143/02, 1 238,  356,  356,,,,,,
14303S,143/03 and 143/05-07,143/03 及 143/05-07, 2 965,  835,  895,,,,,,
14304,143/04,143/04, 1 524,  425,  425,,,,,,
14308S,143/08-09,143/08-09,  861,  204,  204,,,,,,
14310,143/10,143/10,  846,  235,  243,,,,,,
14311,143/11,143/11,  770,  207,  207,,,,,,
14312,143/12,143/12,  740,  148,  148,,,,,,
14313,143/13,143/13,  954,  292,  299,,,,,,
14401S,144/01 and 144/04,144/01 及 144/04, 4 142, 1 308, 1 308,,,,,,
14402S,"144/02-03, 144/08-09, 144/11-12 and 144/20-22","144/02-03, 144/08-09, 144/11-12 及 144/20-22", 1 134,  587,  587,,,,,,
14406S,144/06-07 and 144/66,144/06-07 及 144/66, 3 967, 1 038, 1 038,,,,,,
14413,144/13,144/13,  873,  253,  253,,,,,,
14415S,144/15 and 144/65,144/15 及 144/65, 2 841,  769,  769,,,,,,
14416,144/16,144/16, 2 201,  581,  581,,,,,,
14418,144/18,144/18, 1 963,  701,  701,,,,,,
14423,144/23,144/23,  468,  255,  255,,,,,,
14424S,144/24-25,144/24-25,  582,  259,  259,,,,,,
14426S,144/26 and 144/54,144/26 及 144/54,  722,  184,  184,,,,,,
14428S,144/28 and 144/55,144/28 及 144/55,  887,  222,  229,,,,,,
14430,144/30,144/30,  552,  185,  185,,,,,,
14431,144/31,144/31,  599,  250,  250,,,,,,
14432S,144/32-33,144/32-33, 1 227,  523,  523,,,,,,
14434S,144/34 and 144/64,144/34 及 144/64, 1 160,  398,  398,,,,,,
14435,144/35,144/35,  465,  210,  210,,,,,,
14436,144/36,144/36, 1 444,  570,  570,,,,,,
14437S,144/37-38,144/37-38,  461,  188,  188,,,,,,
14439S,144/39-40,144/39-40,  753,  322,  322,,,,,,
14442S,144/42-43,144/42-43,  781,  324,  324,,,,,,
14444,144/44,144/44,  769,  311,  311,,,,,,
14445,144/45,144/45, 1 335,  438,  438,,,,,,
14446S,144/46-47,144/46-47,  619,  328,  334,,,,,,
14448S,144/48 and 144/50,144/48 及 144/50,  531,  241,  241,,,,,,
14451,144/51,144/51,  567,  209,  209,,,,,,
14452S,144/52-53,144/52-53,  615,  159,  159,,,,,,
14456,144/56,144/56,  847,  222,  222,,,,,,
14457S,"144/57, 144/59-62 and 144/67-70","144/57, 144/59-62 及 144/67-70",  720,  188,  188,,,,,,
14458,144/58,144/58, 1 034,  286,  286,,,,,,
14501S,145/01-03 and 145/07-13,145/01-03 及 145/07-13,  487,  209,  209,,,,,,
14504S,"145/04-05, 145/35-36 and 145/40","145/04-05, 145/35-36 及 145/40", 1 183,  300,  300,,,,,,
14514S,145/14-20 and 145/24,145/14-20 及 145/24,  672,  259,  259,,,,,,
14521S,145/21-23,145/21-23,  846,  327,  338,,,,,,
14525S,145/25-29,145/25-29,  999,  342,  342,,,,,,
14530,145/30,145/30, 2 186,  640,  651,,,,,,
14531,145/31,145/31,  800,  231,  231,,,,,,
14532S,145/32-33,145/32-33,  713,  183,  183,,,,,,
14534S,145/34 and 145/39,145/34 及 145/39,  920,  256,  256,,,,,,
14537,145/37,145/37, 1 182,  427,  427,,,,,,
14538,145/38,145/38, 3 674, 1 062, 1 062,,,,,,
14601,146/01,146/01, 1 483,  608,  608,,,,,,
14602S,146/02-03,146/02-03, 1 054,  479,  478,,,,,,
14604S,146/04-05,146/04-05,  704,  212,  212,,,,,,
14606S,146/06 and 146/40,146/06 及 146/40,  795,  282,  282,,,,,,
14607S,146/07-08 and 146/11-12,146/07-08 及 146/11-12, 1 180,  517,  517,,,,,,
14609,146/09,146/09, 1 980,  629,  641,,,,,,
14610,146/10,146/10, 1 411,  657,  669,,,,,,
14613S,146/13-14 and 147/01-05,146/13-14 及 147/01-05,  624,  331,  344,,,,,,
14615S,146/15-21,146/15-21, 1 253,  474,  474,,,,,,
14622,146/22,146/22, 1 113,  454,  444,,,,,,
14623S,146/23-30,146/23-30,  865,  307,  307,,,,,,
14631,146/31,146/31, 1 325,  593,  593,,,,,,
14632S,146/32 and 146/37-38,146/32 及 146/37-38,  815,  273,  289,,,,,,
14634S,146/34 and 146/36,146/34 及 146/36,  722,  290,  290,,,,,,
14635,146/35,146/35, 1 321,  442,  442,,,,,,
14801S,148/01-02 and 148/08,148/01-02 及 148/08, 7 550, 2 856, 2 875,,,,,,
14803S,148/03-04,148/03-04,  520,  244,  244,,,,,,
14805,148/05,148/05,  964,  358,  368,,,,,,
14806,148/06,148/06,  824,  293,  304,,,,,,
14902S,"149/02, 149/04-06 and 149/08-18","149/02, 149/04-06 及 149/08-18",  902,  197,  197,,,,,,
14907,149/07,149/07, 1 204,  242,  242,,,,,,
14919,149/19,149/19, 2 249,  540,  540,,,,,,
14920,149/20,149/20, 5 209, 1 314, 1 338,,,,,,
15102S,151/02 and 151/06,151/02 及 151/06, 1 011,  376,  378,,,,,,
15103,151/03,151/03, 2 829,  875,  875,,,,,,
15104S,"151/04-05, 151/39-40 and 151/43","151/04-05, 151/39-40 及 151/43", 1 096,  518,  518,,,,,,
15107,151/07,151/07, 1 135,  342,  342,,,,,,
15108S,151/08-10,151/08-10, 1 603,  627,  627,,,,,,
15111,151/11,151/11, 1 982,  688,  671,,,,,,
15112,151/12,151/12,  707,  191,  191,,,,,,
15113,151/13,151/13,  871,  300,  300,,,,,,
15114,151/14,151/14, 1 850,  592,  592,,,,,,
15115,151/15,151/15, 1 711,  568,  567,,,,,,
15117,151/17,151/17, 1 624,  219,  231,,,,,,
15118,151/18,151/18,  701,  342,  342,,,,,,
15119,151/19,151/19, 7 326, 2 485, 2 488,,,,,,
15121,151/21,151/21, 4 219, 1 165, 1 184,,,,,,
15122S,151/22-23,151/22-23, 1 035,  412,  412,,,,,,
15124,151/24,151/24,  775,  433,  433,,,,,,
15125,151/25,151/25,  597,  223,  235,,,,,,
15126,151/26,151/26,  819,  337,  337,,,,,,
15127,151/27,151/27,  405,  148,  148,,,,,,
15128,151/28,151/28,  814,  379,  379,,,,,,
15129,151/29,151/29,  972,  385,  386,,,,,,
15130S,151/30-32,151/30-32,  985,  359,  359,,,,,,
15135,151/35,151/35, 1 486,  451,  451,,,,,,
15136S,151/36-38,151/36-38, 2 831,  849,  867,,,,,,
15141,151/41,151/41, 8 162, 2 199, 2 209,,,,,,
15142,151/42,151/42, 1 663,  443,  443,,,,,,
15201,152/01,152/01, 3 604, 1 047, 1 049,,,,,,
15202,152/02,152/02,  677,  209,  209,,,,,,
15203,152/03,152/03, 2 994,  769,  769,,,,,,
15204,152/04,152/04, 3 627, 1 033, 1 049,,,,,,
15205S,152/05-07,152/05-07, 5 385, 1 471, 1 498,,,,,,
15208,152/08,152/08, 3 881,  971,  971,,,,,,
15303S,"153/03-06, 153/13-14 and 153/20","153/03-06, 153/13-14 及 153/20",  624,  295,  295,,,,,,
15307,153/07,153/07, 1 112,  537,  539,,,,,,
15308,153/08,153/08, 2 527,  737,  745,,,,,,
15309,153/09,153/09, 4 138, 1 538, 1 538,,,,,,
15310,153/10,153/10,  872,  375,  353,,,,,,
15312,153/12,153/12, 1 463,  580,  586,,,,,,
15315,153/15,153/15, 3 049,  894,  928,,,,,,
15316,153/16,153/16, 1 902,  754,  775,,,,,,
15317,153/17,153/17, 2 794,  910,  902,,,,,,
15318,153/18,153/18, 1 460,  611,  575,,,,,,
15319,153/19,153/19,  755,  297,  326,,,,,,
15321,153/21,153/21, 2 508,  612,  632,,,,,,
15322,153/22,153/22, 2 992, 1 094, 1 083,,,,,,
15327,153/27,153/27, 1 897,  607,  607,,,,,,
15328,153/28,153/28, 1 012,  402,  402,,,,,,
15329,153/29,153/29, 2 155,  735,  735,,,,,,
15331,153/31,153/31, 2 864, 1 006, 1 024,,,,,,
15332,153/32,153/32, 1 001,  432,  432,,,,,,
15333,153/33,153/33, 1 350,  487,  487,,,,,,
15334,153/34,153/34, 2 612,  851,  851,,,,,,
15337,153/37,153/37, 2 316,  821,  812,,,,,,
15338,153/38,153/38, 2 303,  820,  837,,,,,,
15339,153/39,153/39, 1 150,  371,  380,,,,,,
15340S,153/40-41 and 153/50,153/40-41 及 153/50, 4 327, 1 281, 1 291,,,,,,
15342,153/42,153/42, 6 346, 2 223, 2 250,,,,,,
15343,153/43,153/43, 1 007,  316,  328,,,,,,
15344S,153/44-47,153/44-47,  499,  192,  192,,,,,,
15348,153/48,153/48,  667,  263,  263,,,,,,
15349,153/49,153/49, 2 169,  664,  674,,,,,,
15351,153/51,153/51,  602,  217,  218,,,,,,
15352,153/52,153/52, 2 820,  798,  798,,,,,,
15353,153/53,153/53, 1 062,  443,  443,,,,,,
15354,153/54,153/54,  641,  279,  279,,,,,,
15355,153/55,153/55, 3 333, 1 077, 1 075,,,,,,
15356,153/56,153/56, 5 357, 1 368, 1 368,,,,,,
15401S,"154/01-04, 154/06-08, 154/10 and 154/24","154/01-04, 154/06-08, 154/10 及 154/24", 1 379,  409,  409,,,,,,
15409,154/09,154/09, 2 137,  865,  865,,,,,,
15411,154/11,154/11, 2 437,  694,  694,,,,,,
15413S,154/13-14,154/13-14, 2 175,  800,  800,,,,,,
15418S,154/18-19 and 154/22,154/18-19 及 154/22,  782,  186,  194,,,,,,
15421S,154/21 and 154/23,154/21 及 154/23, 2 490,  984,  984,,,,,,
15501S,155/01 and 155/10-12,155/01 及 155/10-12, 3 075, 1 235, 1 247,,,,,,
15502,155/02,155/02, 1 231,  474,  486,,,,,,
15503S,155/03-04,155/03-04, 2 602, 1 089, 1 101,,,,,,
15507,155/07,155/07, 6 115, 2 322, 2 324,,,,,,
15508S,155/08-09,155/08-09, 2 350,  663,  663,,,,,,
15513,155/13,155/13, 2 235,  784,  778,,,,,,
15514,155/14,155/14, 1 402,  690,  702,,,,,,
15515,155/15,155/15, 1 028,  349,  349,,,,,,
15516S,155/16-17,155/16-17,  575,  283,  283,,,,,,
15602,156/02,156/02, 7 822, 2 821, 2 810,,,,,,
15603,156/03,156/03, 2 362,  790,  790,,,,,,
15604,156/04,156/04, 1 588,  672,  672,,,,,,
15605,156/05,156/05, 5 882, 1 977, 1 996,,,,,,
15606,156/06,156/06, 1 315,  420,  420,,,,,,
15607,156/07,156/07, 7 264, 2 649, 2 649,,,,,,
15608,156/08,156/08, 1 610,  631,  631,,,,,,
15609S,156/09-12 and 158/01,156/09-12 及 158/01, 3 127,  948,  948,,,,,,
15613,156/13,156/13, 10 198, 3 301, 3 357,,,,,,
15614,156/14,156/14, 8 950, 2 851, 2 846,,,,,,
15615,156/15,156/15, 1 449,  422,  422,,,,,,
15702,157/02,157/02, 1 881,  638,  649,,,,,,
15703,157/03,157/03, 1 816,  727,  727,,,,,,
