ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq,,,,,,
16164S,161/64 and 161/94,161/64 及 161/94, 16 386, 6 236, 6 247,,,,,,
16166S,161/66 and 161/92-93,161/66 及 161/92-93, 5 444, 1 578, 1 578,,,,,,
16180,161/80,161/80,  590,  192,  192,,,,,,
16181S,161/81-82,161/81-82, 1 810,  771,  781,,,,,,
16183,161/83,161/83,  667,  264,  264,,,,,,
16191,161/91,161/91, 4 660, 1 572, 1 575,,,,,,
16202S,162/02 and 162/06-07,162/02 及 162/06-07,  565,  143,  143,,,,,,
16203,162/03,162/03, 18 861, 6 028, 6 028,,,,,,
16305S,163/05-07 and 163/34-35,163/05-07 及 163/34-35,  700,  219,  219,,,,,,
16313S,"163/13-14, 163/20, 163/23, 163/25-26 and 163/28-31","163/13-14, 163/20, 163/23, 163/25-26 及 163/28-31", 9 303, 3 236, 3 236,,,,,,
16315,163/15,163/15, 2 900,  906,  919,,,,,,
16316S,163/16-18,163/16-18, 6 410, 1 983, 1 995,,,,,,
16319,163/19,163/19, 4 428, 1 359, 1 401,,,,,,
16321S,163/21-22,163/21-22, 2 039,  552,  552,,,,,,
16324,163/24,163/24, 2 085,  634,  650,,,,,,
16332,163/32,163/32, 5 166, 2 087, 2 087,,,,,,
16333,163/33,163/33, 4 098, 1 673, 1 673,,,,,,
16336,163/36,163/36, 1 516,  562,  562,,,,,,
16402S,164/02-03 and 165/25,164/02-03 及 165/25, 5 966, 1 923, 1 923,,,,,,
16502,165/02,165/02, 8 736, 2 575, 2 575,,,,,,
16503S,165/03 and 165/30,165/03 及 165/30, 2 767, 1 011, 1 020,,,,,,
16504,165/04,165/04, 12 158, 4 177, 4 177,,,,,,
16508S,165/08 and 165/29,165/08 及 165/29, 2 093,  756,  778,,,,,,
16523,165/23,165/23, 1 069,  379,  379,,,,,,
16524,165/24,165/24, 8 570, 3 423, 3 443,,,,,,
16526,165/26,165/26, 1 993,  822,  822,,,,,,
16528,165/28,165/28, 4 952, 1 617, 1 617,,,,,,
16531,165/31,165/31, 5 318, 1 803, 1 803,,,,,,
16532,165/32,165/32, 4 594, 1 503, 1 514,,,,,,
16601S,166/01-02 and 166/04,166/01-02 及 166/04, 18 384, 5 897, 5 931,,,,,,
16603S,166/03 and 166/07-08,166/03 及 166/07-08, 8 791, 2 539, 2 537,,,,,,
16605S,166/05-06,166/05-06, 12 167, 4 148, 4 148,,,,,,
16701,167/01,167/01, 9 438, 2 943, 2 943,,,,,,
16702S,167/02-03,167/02-03, 7 099, 2 236, 2 236,,,,,,
16704,167/04,167/04, 5 313, 1 792, 1 807,,,,,,
16705,167/05,167/05, 9 454, 3 181, 3 197,,,,,,
16706,167/06,167/06, 15 829, 4 977, 4 966,,,,,,
16707,167/07,167/07, 1 865,  651,  651,,,,,,
16708S,167/08-10,167/08-10, 7 928, 2 254, 2 265,,,,,,
17113S,"171/13-15, 171/17-21 and 171/23","171/13-15, 171/17-21 及 171/23",  898,  159,  187,,,,,,
17125,171/25,171/25,  749,  168,  168,,,,,,
17126S,171/26-27,171/26-27,  488,  155,  155,,,,,,
17128S,171/28-30,171/28-30,  481,  129,  138,,,,,,
17131S,171/31-33 and 171/35,171/31-33 及 171/35,  417,  33,  321,,,,,,
17134S,"171/34, 171/39-42, 171/44 and 171/56","171/34, 171/39-42, 171/44 及 171/56", 1 662,  376,  388,,,,,,
17136S,171/36-38,171/36-38,  420,  99,  99,,,,,,
17143S,"171/43, 171/47, 171/49-50 and 171/53","171/43, 171/47, 171/49-50 及 171/53", 5 229, 1 426, 1 417,,,,,,
17145S,171/45-46,171/45-46,  607,  121,  148,,,,,,
17152,171/52,171/52, 3 902, 1 025, 1 034,,,,,,
17154,171/54,171/54, 5 365, 1 403, 1 411,,,,,,
17155,171/55,171/55,  535,  75,  113,,,,,,
17201S,"172/01, 172/09 and 172/11","172/01, 172/09 及 172/11",  592,  208,  208,,,,,,
17204,172/04,172/04, 13 609, 4 741, 4 772,,,,,,
17205S,172/05 and 172/07,172/05 及 172/07, 1 219,  333,  333,,,,,,
17206,172/06,172/06, 13 632, 4 905, 4 895,,,,,,
17208,172/08,172/08, 26 590, 8 964, 8 985,,,,,,
17210,172/10,172/10, 1 046,  381,  381,,,,,,
17302S,173/02 and 173/05,173/02 及 173/05, 11 372, 3 681, 3 751,,,,,,
17306S,173/06 and 173/08,173/06 及 173/08, 1 683,  639,  639,,,,,,
17312S,"173/12-13, 173/15 and 173/83","173/12-13, 173/15 及 173/83",  646,  206,  209,,,,,,
17316,173/16,173/16,  467,  144,  148,,,,,,
17317,173/17,173/17, 3 037, 1 228, 1 228,,,,,,
17318S,173/18-19,173/18-19, 2 148,  909,  909,,,,,,
17320,173/20,173/20, 13 926, 5 155, 5 165,,,,,,
17321S,173/21 and 173/23-24,173/21 及 173/23-24, 1 391,  457,  465,,,,,,
17322,173/22,173/22,  781,  207,  218,,,,,,
17325,173/25,173/25,  429,  153,  142,,,,,,
17326,173/26,173/26, 2 136,  454,  480,,,,,,
17327S,173/27-28,173/27-28, 1 092,  348,  348,,,,,,
17330,173/30,173/30,  460,  158,  158,,,,,,
17333S,173/33-35 and 173/82,173/33-35 及 173/82, 1 295,  417,  417,,,,,,
17336,173/36,173/36, 8 172, 2 542, 2 550,,,,,,
17337S,173/37 and 173/39,173/37 及 173/39,  690,  222,  222,,,,,,
17338,173/38,173/38,  504,  177,  161,,,,,,
17340,173/40,173/40,  559,  159,  159,,,,,,
17341S,173/41-43,173/41-43, 1 413,  479,  479,,,,,,
17344,173/44,173/44, 1 299,  490,  490,,,,,,
17362S,"173/62, 173/72, 173/77-78 and 173/80","173/62, 173/72, 173/77-78 及 173/80",  819,  219,  219,,,,,,
17373S,173/73 and 173/81,173/73 及 173/81,  858,  275,  275,,,,,,
17374S,173/74-75,173/74-75,  734,  214,  214,,,,,,
17376,173/76,173/76, 1 286,  396,  396,,,,,,
17379,173/79,173/79, 1 106,  404,  404,,,,,,
17402S,"174/02, 174/04-10 and 174/13","174/02, 174/04-10 及 174/13", 2 283,  661,  661,,,,,,
17411,174/11,174/11, 5 801, 1 909, 1 909,,,,,,
17412,174/12,174/12, 19 500, 7 104, 7 095,,,,,,
17414S,"174/14, 174/16 and 174/38","174/14, 174/16 及 174/38", 24 103, 6 836, 6 858,,,,,,
17415,174/15,174/15, 7 348, 2 353, 2 353,,,,,,
17417S,174/17-20,174/17-20, 14 620, 4 275, 4 312,,,,,,
17421,174/21,174/21, 1 889,  664,  664,,,,,,
17422,174/22,174/22, 1 395,  489,  489,,,,,,
17423,174/23,174/23, 3 937, 1 224, 1 259,,,,,,
17424S,"174/24, 174/29-30 and 174/34","174/24, 174/29-30 及 174/34",  464,  149,  149,,,,,,
17425S,174/25-26,174/25-26,  867,  305,  305,,,,,,
17427S,174/27-28,174/27-28,  880,  319,  319,,,,,,
17431,174/31,174/31,  489,  196,  196,,,,,,
17432S,174/32-33,174/32-33,  594,  160,  160,,,,,,
17439,174/39,174/39, 2 582,  895,  915,,,,,,
17501S,"175/01, 175/04-06, 175/08-10 and 175/14","175/01, 175/04-06, 175/08-10 及 175/14", 3 637,  66,  161,,,,,,
17502S,175/02-03 and 175/19-21,175/02-03 及 175/19-21,  702,  194,  198,,,,,,
17511S,"175/11, 175/15 and 176/01-03","175/11, 175/15 及 176/01-03",  845,  168,  385,,,,,,
17516S,175/16-17,175/16-17, 5 959, 2 022, 2 026,,,,,,
17518,175/18,175/18, 3 322, 1 268, 1 268,,,,,,
18101S,"181/01-02, 182/01-05, 182/13 and 182/21","181/01-02, 182/01-05, 182/13 及 182/21", 1 123,  281,  281,,,,,,
18206S,182/06-07,182/06-07,  689,  151,  151,,,,,,
18208S,182/08-12 and 182/15-17,182/08-12 及 182/15-17,  866,  183,  193,,,,,,
18218S,182/18-20,182/18-20, 1 189,  258,  266,,,,,,
18222,182/22,182/22,  812,  224,  231,,,,,,
18301S,"183/01, 183/05-07, 184/01 and 184/03","183/01, 183/05-07, 184/01 及 184/03",  900,  247,  250,,,,,,
18404,184/04,184/04, 2 295,  600,  607,,,,,,
18405S,184/05 and 184/10,184/05 及 184/10, 1 739,  420,  420,,,,,,
19002S,190/02-06 and 190/09-11,190/02-06 及 190/09-11,  559,  139,  139,,,,,,
19103S,191/03 and 191/05,191/03 及 191/05,  695,  149,  149,,,,,,
19106,191/06,191/06, 1 044,  137,  137,,,,,,
19107,191/07,191/07,  627,  140,  140,,,,,,
19108S,191/08-13,191/08-13,  998,  197,  207,,,,,,
19115S,191/15 and 191/19,191/15 及 191/19, 1 036,  284,  284,,,,,,
19201S,192/01-02,192/01-02,  986,  249,  263,,,,,,
19205,192/05,192/05, 1 088,  230,  239,,,,,,
19206,192/06,192/06, 1 442,  399,  399,,,,,,
19207S,192/07-08,192/07-08, 1 460,  325,  339,,,,,,
19209S,192/09-14,192/09-14,  949,  227,  227,,,,,,
19215S,192/15 and 192/17,192/15 及 192/17, 1 543,  400,  409,,,,,,
19218S,192/18 and 194/08,192/18 及 194/08, 1 824,  428,  428,,,,,,
19219,192/19,192/19, 2 513,  645,  658,,,,,,
19301S,193/01-04,193/01-04,  793,  147,  192,,,,,,
19502,195/02,195/02,  664,  171,  171,,,,,,
19503S,195/03-04,195/03-04,  862,  227,  227,,,,,,
19505,195/05,195/05,  428,  100,  100,,,,,,
19506S,195/06 and 195/08-11,195/06 及 195/08-11, 1 172,  451,  474,,,,,,
19513S,"195/13, 195/15-16, 195/21-22 and 198/01","195/13, 195/15-16, 195/21-22 及 198/01", 4 017,  698,  701,,,,,,
19517S,195/17-18,195/17-18, 1 010,  224,  224,,,,,,
19519S,195/19-20,195/19-20, 5 865, 2 106, 2 141,,,,,,
19523,195/23,195/23,  445,  99,  107,,,,,,
19603S,196/03-05 and 196/08-10,196/03-05 及 196/08-10, 1 667,  470,  484,,,,,,
19606,196/06,196/06, 1 482,  353,  353,,,,,,
19607,196/07,196/07, 1 270,  337,  348,,,,,,
19702S,197/02 and 197/04-07,197/02 及 197/04-07,  591,  157,  157,,,,,,
19709S,197/09-13 and 197/15,197/09-13 及 197/15,  840,  244,  244,,,,,,
19714,197/14,197/14,  722,  220,  214,,,,,,
21105,211/05,211/05,  473,  211,  211,,,,,,
21106,211/06,211/06,  889,  301,  293,,,,,,
21107,211/07,211/07,  942,  386,  377,,,,,,
21108S,211/08-09,211/08-09, 1 180,  440,  440,,,,,,
21110,211/10,211/10,  843,  336,  343,,,,,,
21111,211/11,211/11,  859,  371,  366,,,,,,
21112S,211/12-13,211/12-13,  924,  454,  454,,,,,,
21114,211/14,211/14,  876,  318,  324,,,,,,
21115S,211/15-16,211/15-16,  482,  217,  217,,,,,,
21117S,211/17-18 and 211/34,211/17-18 及 211/34, 2 722,  888,  901,,,,,,
21119S,"211/19, 211/27 and 211/32-33","211/19, 211/27 及 211/32-33",  868,  289,  296,,,,,,
21120S,211/20-21,211/20-21,  725,  251,  271,,,,,,
21122,211/22,211/22,  733,  271,  271,,,,,,
21123S,211/23-24 and 211/28-29,211/23-24 及 211/28-29, 1 203,  448,  455,,,,,,
21130,211/30,211/30,  912,  291,  296,,,,,,
21131,211/31,211/31,  459,  156,  156,,,,,,
21201,212/01,212/01,  669,  297,  310,,,,,,
21202S,212/02-03,212/02-03, 2 632,  910,  937,,,,,,
21204,212/04,212/04, 1 326,  442,  447,,,,,,
21205,212/05,212/05, 1 023,  332,  350,,,,,,
21207,212/07,212/07, 1 003,  358,  358,,,,,,
21208S,"212/08, 212/22 and 212/24","212/08, 212/22 及 212/24", 1 234,  516,  531,,,,,,
21210,212/10,212/10,  427,  213,  213,,,,,,
21211,212/11,212/11,  559,  221,  226,,,,,,
21212,212/12,212/12,  534,  252,  259,,,,,,
21213,212/13,212/13,  621,  352,  352,,,,,,
21214S,212/14-15,212/14-15,  737,  269,  275,,,,,,
21216S,212/16 and 212/18,212/16 及 212/18,  680,  222,  222,,,,,,
21217,212/17,212/17,  830,  344,  349,,,,,,
21219,212/19,212/19,  807,  417,  417,,,,,,
21220,212/20,212/20,  461,  147,  152,,,,,,
21221,212/21,212/21, 2 503,  917,  923,,,,,,
21223,212/23,212/23, 1 302,  490,  510,,,,,,
21303S,213/03 and 213/06,213/03 及 213/06, 4 745, 1 553, 1 553,,,,,,
21304S,213/04-05 and 213/10,213/04-05 及 213/10, 8 774, 2 309, 2 950,,,,,,
21401S,214/01-02 and 214/04,214/01-02 及 214/04, 1 328,  494,  512,,,,,,
21405S,214/05 and 214/09-11,214/05 及 214/09-11, 1 752,  706,  717,,,,,,
21406S,214/06-08,214/06-08,  459,  274,  274,,,,,,
21413S,214/13-14,214/13-14,  679,  372,  379,,,,,,
21501S,215/01-08 and 216/01-02,215/01-08 及 216/01-02,  719,  278,  278,,,,,,
21701,217/01,217/01, 1 507,  904,  904,,,,,,
21702,217/02,217/02, 2 680, 1 503, 1 547,,,,,,
21703,217/03,217/03, 2 321, 1 205, 1 226,,,,,,
22025S,220/25-27,220/25-27,  594,  276,  276,,,,,,
22028S,220/28-29,220/28-29,  545,  212,  212,,,,,,
22101,221/01,221/01, 1 948,  679,  679,,,,,,
22102,221/02,221/02,  816,  301,  301,,,,,,
22103,221/03,221/03,  434,  143,  143,,,,,,
22104,221/04,221/04, 1 504,  608,  608,,,,,,
22105S,221/05 and 221/12,221/05 及 221/12, 1 643,  678,  678,,,,,,
22106,221/06,221/06,  400,  134,  134,,,,,,
22107,221/07,221/07,  901,  320,  320,,,,,,
22108S,221/08 and 221/94,221/08 及 221/94, 8 979, 3 339, 3 356,,,,,,
22109,221/09,221/09, 1 219,  328,  329,,,,,,
22110,221/10,221/10, 1 071,  521,  521,,,,,,
22111,221/11,221/11, 1 597,  642,  612,,,,,,
22113,221/13,221/13,  705,  309,  283,,,,,,
22114S,"221/14, 221/24 and 221/34","221/14, 221/24 及 221/34", 1 223,  442,  442,,,,,,
22115S,221/15-16,221/15-16, 1 172,  451,  451,,,,,,
22117,221/17,221/17, 1 513,  565,  554,,,,,,
22118,221/18,221/18,  607,  249,  249,,,,,,
22119,221/19,221/19, 1 449,  587,  587,,,,,,
22120,221/20,221/20,  646,  292,  292,,,,,,
22121,221/21,221/21,  492,  208,  208,,,,,,
22122S,"221/22-23, 221/27, 221/33 and 221/44-45","221/22-23, 221/27, 221/33 及 221/44-45", 1 514,  610,  600,,,,,,
22125,221/25,221/25, 2 411,  882,  882,,,,,,
22126,221/26,221/26, 1 523,  621,  621,,,,,,
22128,221/28,221/28, 1 015,  354,  363,,,,,,
22129,221/29,221/29,  762,  291,  308,,,,,,
22130,221/30,221/30,  839,  295,  295,,,,,,
22131,221/31,221/31, 1 197,  494,  494,,,,,,
22132,221/32,221/32, 1 461,  595,  595,,,,,,
22135,221/35,221/35,  649,  290,  290,,,,,,
22136,221/36,221/36,  816,  294,  294,,,,,,
22137,221/37,221/37,  583,  217,  217,,,,,,
22138,221/38,221/38,  697,  253,  253,,,,,,
22139S,221/39-40,221/39-40,  610,  305,  305,,,,,,
22141,221/41,221/41, 1 963,  461,  476,,,,,,
22142,221/42,221/42, 5 255, 2 119, 2 111,,,,,,
22143S,"221/43, 221/47-48 and 221/63-65","221/43, 221/47-48 及 221/63-65",  920,  496,  486,,,,,,
22146,221/46,221/46,  652,  252,  252,,,,,,
22149S,221/49 and 221/66,221/49 及 221/66, 1 176,  411,  427,,,,,,
22150,221/50,221/50, 2 385,  738,  706,,,,,,
22151,221/51,221/51, 1 715,  543,  543,,,,,,
22152S,221/52 and 221/68,221/52 及 221/68, 1 901,  793,  802,,,,,,
22153S,221/53-54,221/53-54,  776,  310,  310,,,,,,
22155,221/55,221/55,  758,  288,  288,,,,,,
22158S,221/58 and 221/96,221/58 及 221/96,  720,  331,  320,,,,,,
22160,221/60,221/60,  721,  298,  298,,,,,,
22162,221/62,221/62, 1 159,  435,  436,,,,,,
22167,221/67,221/67,  789,  298,  309,,,,,,
22169,221/69,221/69,  711,  232,  232,,,,,,
22170S,221/70-71,221/70-71,  681,  234,  234,,,,,,
22172,221/72,221/72, 1 668,  689,  689,,,,,,
22173,221/73,221/73,  999,  429,  429,,,,,,
22177S,221/77-78,221/77-78, 4 443, 1 764, 1 758,,,,,,
22179S,221/79-80,221/79-80, 1 021,  398,  398,,,,,,
22181S,221/81 and 221/89,221/81 及 221/89, 2 948, 1 183, 1 195,,,,,,
22182S,221/82-83,221/82-83,  859,  377,  377,,,,,,
22184S,221/84-85,221/84-85,  652,  275,  275,,,,,,
22186,221/86,221/86, 1 312,  527,  537,,,,,,
22187,221/87,221/87, 1 079,  313,  315,,,,,,
22188,221/88,221/88,  488,  199,  199,,,,,,
22190,221/90,221/90, 1 117,  394,  402,,,,,,
22191,221/91,221/91,  460,  209,  209,,,,,,
22192,221/92,221/92,  748,  285,  285,,,,,,
22193,221/93,221/93,  841,  339,  339,,,,,,
22197,221/97,221/97, 2 354,  886,  886,,,,,,
22198S,221/98-99,221/98-99, 1 624,  698,  698,,,,,,
22201,222/01,222/01,  872,  332,  332,,,,,,
22202,222/02,222/02, 1 172,  358,  388,,,,,,
22203,222/03,222/03,  611,  237,  250,,,,,,
22204,222/04,222/04,  906,  333,  333,,,,,,
22205S,"222/05, 222/10 and 222/31","222/05, 222/10 及 222/31",  601,  219,  219,,,,,,
22206S,222/06-07,222/06-07,  841,  291,  303,,,,,,
22208,222/08,222/08,  492,  216,  216,,,,,,
22209,222/09,222/09, 1 207,  418,  418,,,,,,
22211,222/11,222/11,  843,  367,  367,,,,,,
22212S,222/12-14,222/12-14, 1 663,  650,  650,,,,,,
22215,222/15,222/15, 2 062,  735,  750,,,,,,
22216S,222/16-18,222/16-18, 1 921,  752,  752,,,,,,
22219S,222/19 and 222/23,222/19 及 222/23,  510,  211,  211,,,,,,
22220,222/20,222/20, 1 179,  415,  458,,,,,,
22221,222/21,222/21, 1 936,  643,  653,,,,,,
22222,222/22,222/22, 2 072,  680,  680,,,,,,
22224S,222/24 and 222/27-28,222/24 及 222/27-28,  708,  346,  346,,,,,,
22225S,222/25 and 222/29,222/25 及 222/29, 1 370,  698,  698,,,,,,
22226,222/26,222/26,  696,  302,  302,,,,,,
22230,222/30,222/30, 1 006,  427,  427,,,,,,
22506,225/06,225/06, 1 086,  421,  407,,,,,,
22507S,"225/07-08, 225/86 and 225/88","225/07-08, 225/86 及 225/88",  651,  239,  246,,,,,,
22510S,225/10 and 225/18,225/10 及 225/18,  536,  212,  212,,,,,,
22511S,225/11-12,225/11-12,  728,  274,  274,,,,,,
22513,225/13,225/13,  472,  205,  205,,,,,,
22519S,225/19-20,225/19-20,  726,  251,  258,,,,,,
22521,225/21,225/21,  401,  169,  169,,,,,,
22522S,225/22-24,225/22-24,  737,  290,  290,,,,,,
22525S,"225/25, 225/28-29, 225/32-33 and 225/81-83","225/25, 225/28-29, 225/32-33 及 225/81-83",  954,  353,  354,,,,,,
22534S,225/34-35,225/34-35,  791,  293,  297,,,,,,
22536S,225/36-37,225/36-37,  689,  229,  234,,,,,,
22538,225/38,225/38,  829,  279,  279,,,,,,
22539,225/39,225/39,  829,  283,  283,,,,,,
22540,225/40,225/40,  519,  199,  204,,,,,,
22541S,225/41-42,225/41-42,  624,  271,  267,,,,,,
22543,225/43,225/43,  714,  275,  262,,,,,,
22544,225/44,225/44,  644,  241,  236,,,,,,
22545S,225/45-47,225/45-47,  883,  332,  337,,,,,,
22548,225/48,225/48, 1 330,  470,  470,,,,,,
22549,225/49,225/49, 1 504,  489,  489,,,,,,
22550,225/50,225/50, 1 364,  437,  442,,,,,,
22551,225/51,225/51, 1 734,  606,  623,,,,,,
22552,225/52,225/52, 1 663,  530,  530,,,,,,
22553,225/53,225/53, 2 033,  784,  784,,,,,,
22554,225/54,225/54, 1 258,  432,  426,,,,,,
22555,225/55,225/55, 1 296,  490,  484,,,,,,
22556,225/56,225/56, 1 496,  554,  554,,,,,,
22557,225/57,225/57, 1 870,  629,  641,,,,,,
22558S,225/58-59,225/58-59,  653,  261,  258,,,,,,
22560,225/60,225/60,  476,  201,  201,,,,,,
22561,225/61,225/61,  406,  144,  144,,,,,,
22562,225/62,225/62, 1 120,  422,  422,,,,,,
22563S,225/63-64,225/63-64,  951,  325,  325,,,,,,
22565,225/65,225/65,  550,  170,  170,,,,,,
22566,225/66,225/66,  509,  176,  179,,,,,,
22567,225/67,225/67,  439,  193,  199,,,,,,
22568,225/68,225/68,  770,  222,  222,,,,,,
22569,225/69,225/69,  815,  282,  278,,,,,,
22570S,225/70-71,225/70-71, 1 247,  436,  436,,,,,,
22573,225/73,225/73,  477,  181,  181,,,,,,
22574,225/74,225/74, 1 111,  426,  421,,,,,,
22575S,225/75-76,225/75-76, 1 061,  389,  385,,,,,,
22577,225/77,225/77,  655,  195,  195,,,,,,
22578,225/78,225/78,  820,  332,  332,,,,,,
22584,225/84,225/84, 5 049, 1 499, 1 514,,,,,,
22585,225/85,225/85,  759,  320,  320,,,,,,
22587,225/87,225/87, 2 043,  728,  736,,,,,,
22601S,226/01-03 and 226/20,226/01-03 及 226/20, 1 012,  420,  420,,,,,,
22604,226/04,226/04,  531,  123,  123,,,,,,
22605,226/05,226/05,  457,  185,  185,,,,,,
22606S,226/06 and 226/09,226/06 及 226/09,  434,  153,  153,,,,,,
22607,226/07,226/07, 2 606,  645,  645,,,,,,
22608S,226/08 and 226/21,226/08 及 226/21, 2 842,  715,  715,,,,,,
22610S,226/10-12 and 226/17,226/10-12 及 226/17,  780,  288,  292,,,,,,
22613S,226/13 and 226/18-19,226/13 及 226/18-19, 1 900,  796,  801,,,,,,
22614S,226/14-15,226/14-15, 1 050,  242,  242,,,,,,
22701S,"227/01, 227/07 and 227/12","227/01, 227/07 及 227/12",  590,  289,  301,,,,,,
22702,227/02,227/02,  595,  287,  287,,,,,,
22703,227/03,227/03, 1 387,  579,  579,,,,,,
22704,227/04,227/04,  438,  149,  149,,,,,,
22705,227/05,227/05,  787,  319,  333,,,,,,
22706S,227/06 and 227/30,227/06 及 227/30,  871,  403,  403,,,,,,
22708,227/08,227/08,  644,  292,  292,,,,,,
22709,227/09,227/09,  742,  352,  341,,,,,,
22710,227/10,227/10,  519,  265,  265,,,,,,
22711,227/11,227/11,  440,  222,  235,,,,,,
22713,227/13,227/13,  789,  379,  365,,,,,,
22714,227/14,227/14,  887,  402,  414,,,,,,
22715S,227/15-16 and 227/18,227/15-16 及 227/18,  663,  278,  290,,,,,,
22717,227/17,227/17,  912,  346,  346,,,,,,
22719S,227/19-20,227/19-20,  717,  242,  242,,,,,,
22721,227/21,227/21, 1 705,  721,  710,,,,,,
22722,227/22,227/22, 2 129,  838,  862,,,,,,
22723,227/23,227/23, 2 273,  784,  784,,,,,,
22724,227/24,227/24, 1 558,  520,  524,,,,,,
22825,228/25,228/25, 5 758, 1 956, 1 972,,,,,,
22826,228/26,228/26,  821,  335,  322,,,,,,
22827,228/27,228/27,  641,  239,  239,,,,,,
22828,228/28,228/28,  496,  245,  245,,,,,,
22829S,228/29 and 228/33,228/29 及 228/33,  825,  361,  361,,,,,,
22830,228/30,228/30,  583,  227,  227,,,,,,
22831,228/31,228/31,  587,  224,  236,,,,,,
22832,228/32,228/32,  473,  175,  175,,,,,,
22834,228/34,228/34, 2 676, 1 108, 1 089,,,,,,
22835,228/35,228/35,  614,  242,  242,,,,,,
22836,228/36,228/36,  457,  185,  185,,,,,,
22837,228/37,228/37,  959,  365,  373,,,,,,
22838,228/38,228/38,  848,  319,  319,,,,,,
22901S,229/01-03,229/01-03, 1 691,  663,  663,,,,,,
22904S,229/04 and 229/43-44,229/04 及 229/43-44,  953,  368,  368,,,,,,
22907S,"229/07, 229/10-12 and 229/16","229/07, 229/10-12 及 229/16", 1 175,  431,  431,,,,,,
22908,229/08,229/08, 2 642, 1 033, 1 009,,,,,,
22909S,229/09 and 229/14,229/09 及 229/14,  799,  317,  317,,,,,,
22913,229/13,229/13, 3 682, 1 372, 1 333,,,,,,
22915,229/15,229/15,  746,  252,  252,,,,,,
22917,229/17,229/17,  722,  269,  278,,,,,,
22918,229/18,229/18, 2 083,  744,  744,,,,,,
22919,229/19,229/19,  975,  340,  340,,,,,,
22922S,229/22-24 and 229/41,229/22-24 及 229/41,  817,  351,  351,,,,,,
22942,229/42,229/42,  945,  343,  343,,,,,,
23101,231/01,231/01,  432,  123,  123,,,,,,
23102,231/02,231/02, 1 681,  451,  451,,,,,,
23103,231/03,231/03,  991,  210,  236,,,,,,
23104,231/04,231/04,  659,  168,  182,,,,,,
23105S,231/05-07,231/05-07,  772,  193,  193,,,,,,
23108,231/08,231/08, 1 719,  496,  496,,,,,,
23201S,232/01-02 and 232/04-06,232/01-02 及 232/04-06, 1 467,  332,  332,,,,,,
23207,232/07,232/07,  634,  147,  147,,,,,,
23208S,232/08-10,232/08-10, 2 516,  688,  688,,,,,,
23301,233/01,233/01, 1 433,  408,  408,,,,,,
23302,233/02,233/02,  558,  191,  191,,,,,,
23303S,"233/03, 233/07 and 233/11","233/03, 233/07 及 233/11",  712,  186,  186,,,,,,
23310,233/10,233/10,  646,  181,  181,,,,,,
23401,234/01,234/01, 1 113,  276,  276,,,,,,
23402S,234/02-03,234/02-03, 1 944,  585,  585,,,,,,
23412,234/12,234/12, 1 394,  385,  385,,,,,,
23413S,234/13-15,234/13-15,  529,  169,  169,,,,,,
23416,234/16,234/16, 1 036,  268,  268,,,,,,
23421,234/21,234/21, 3 324,  773,  777,,,,,,
23422,234/22,234/22, 2 185,  590,  590,,,,,,
23423S,234/23-24,234/23-24, 1 248,  370,  370,,,,,,
23425S,234/25-26,234/25-26, 1 521,  436,  469,,,,,,
23501,235/01,235/01, 2 476,  996,  996,,,,,,
23502,235/02,235/02, 1 267,  494,  494,,,,,,
23503,235/03,235/03,  532,  143,  143,,,,,,
23504,235/04,235/04, 3 214,  971,  965,,,,,,
23505,235/05,235/05, 2 722, 1 027, 1 045,,,,,,
23506,235/06,235/06, 1 162,  334,  343,,,,,,
23507,235/07,235/07, 2 966,  868,  894,,,,,,
23510,235/10,235/10,  817,  220,  238,,,,,,
23512S,235/12-13,235/12-13, 1 911,  505,  505,,,,,,
23608,236/08,236/08, 10 084, 3 355, 3 375,,,,,,
23609,236/09,236/09, 8 361, 2 802, 2 802,,,,,,
23610S,"236/10-11, 236/15 and 236/19","236/10-11, 236/15 及 236/19",  448,  158,  158,,,,,,
23620,236/20,236/20,  571,  253,  253,,,,,,
23621S,236/21-22,236/21-22,  443,  144,  229,,,,,,
23623,236/23,236/23, 5 025, 1 641, 1 665,,,,,,
23624,236/24,236/24, 4 018, 1 173, 1 191,,,,,,
23701S,237/01-02,237/01-02, 2 266,  798,  798,,,,,,
23703S,237/03-05,237/03-05, 12 897, 4 854, 4 898,,,,,,
24101,241/01,241/01,  870,  247,  247,,,,,,
24102,241/02,241/02,  957,  328,  335,,,,,,
24103,241/03,241/03,  946,  376,  376,,,,,,
24104,241/04,241/04, 1 968,  642,  632,,,,,,
24105,241/05,241/05, 1 237,  497,  497,,,,,,
24106,241/06,241/06, 1 319,  426,  426,,,,,,
24107,241/07,241/07, 1 104,  443,  443,,,,,,
24108,241/08,241/08, 3 458,  929,  929,,,,,,
24109,241/09,241/09, 1 470,  478,  485,,,,,,
24110,241/10,241/10,  984,  408,  408,,,,,,
24111,241/11,241/11, 2 926,  865,  865,,,,,,
24112,241/12,241/12, 1 076,  355,  355,,,,,,
24113,241/13,241/13, 10 299, 3 445, 3 435,,,,,,
24114,241/14,241/14,  806,  282,  282,,,,,,
24115,241/15,241/15, 4 021, 1 345, 1 345,,,,,,
24116,241/16,241/16, 1 363,  418,  427,,,,,,
24117,241/17,241/17, 1 243,  531,  531,,,,,,
24118,241/18,241/18, 1 485,  549,  557,,,,,,
